,mono,diz,h2
Test 1,0.9969198446632548,0.6816748198248168,0.6304900496768759
test 2,0.9960183624184539,0.6710493548471775,0.6499380151425527
test 3,0.9947609869591162,0.6887720725630044,0.6119778287922235
test4,0.9921722293720413,0.6848456400147228,0.614653178714637
